X,Y,Scaled_X,Scaled_Y
-121.7426388,38.54029363,190.28352112099748,238.5313199209325
-121.7426682,38.54028787,189.93955425878224,238.35157325137868
-121.74269337,38.54028093,189.64507650635184,238.13500347944236
-121.7427255,38.54027401,189.2691698640108,237.9190578277163
-121.74275679,38.54026816,188.90309084645176,237.7365026164403
-121.74279108,38.5402615,188.50191316940834,237.5286705298865
-121.74282259,38.54025464,188.13326025011276,237.31459723945636
-121.74285234,38.54024613,187.78519854437693,237.0490340176009
-121.74288422,38.54023469,187.41221679047865,236.69203715999944
-121.74291221,38.5402265,187.08474629813628,236.43645986439043
-121.74293923,38.54021906,186.76862437235997,236.2042870827633
-121.74296641,38.5402142,186.45063051825957,236.0526258304312
-121.74299734,38.54021184,186.08876333967905,235.97897962544448
-121.74302408,38.54021208,185.77591728888547,235.98646907018477
-121.74305208,38.54021385,185.44832980108518,236.0417037237585
-121.74308438,38.54021684,185.07043423479593,236.1350097205787
-121.74312086,38.54022329,184.64363453634388,236.33628854326193
-121.74316228,38.54023296,184.15903904544163,236.63805074706792
-121.74320864,38.54024277,183.61664776208914,236.94418179367602
-121.74325276,38.5402513,183.10046347776736,237.21036913596348
-121.74329691,38.54025796,182.58392820690557,237.41820122251727
-121.74334156,38.54026365,182.06154315932451,237.5957634707809
-121.74338253,38.54027096,181.58221246735323,237.82387946982192
-121.74342412,38.5402794,181.09562805250275,238.08725827038717
-121.74346715,38.54028713,180.59219628107317,238.32848079739108
-121.74350871,38.54029284,180.10596285276267,238.50666716586494
-121.74355615,38.54029441,179.55093605197587,238.5556606157841
-121.74360776,38.54029206,178.94712211465045,238.48232647101335
-121.74366619,38.54028523,178.2635172249889,238.26918936123118
-121.74372547,38.54027647,177.56996771508747,237.9958246346412
-121.74378416,38.5402663,176.88332094152526,237.6784594211444
-121.74384661,38.54025692,176.15268384819123,237.38574696271516
-121.74390786,38.54024912,175.43608621878397,237.14234001442108
-121.74397016,38.54024153,174.7072040583161,236.90548633021933
-121.74403471,38.54023522,173.95199790352592,236.7085763501165
-121.74409731,38.540227,173.2196058771595,236.4520628738595
-121.744161,38.54021804,172.47446133790086,236.17245694339317
-121.74422397,38.54020818,171.73774047709801,235.86476559592685
-121.74428761,38.54020052,170.9931809154614,235.62572749021317
-121.74435091,38.54019259,170.25259920205377,235.37826375933295
-121.74441485,38.54018701,169.5045297745186,235.20413417322348
-121.74447639,38.54018247,168.78453927450443,235.0624588469161
-121.74453339,38.54018001,168.1176647457978,234.98569204021294
-121.74458713,38.54018089,167.48893076030998,235.01315333700268
-121.74463482,38.54018267,166.93097907124667,235.06870005079242
-121.74467959,38.54018656,166.40719007733944,235.19009146483432
-121.74472047,38.54019108,165.92891234515434,235.33114267070974
-121.74475939,38.54019592,165.47356573718343,235.48217980283158
-121.74479477,38.54020071,165.0596355472478,235.6316566338735
-121.74482558,38.54020663,164.6991723151597,235.81639626643968
-121.74485586,38.54021069,164.3449098461646,235.94309270370994
-121.74488391,38.54021391,164.01673738074226,236.0435760848327
-121.74490964,38.54021632,163.71570787851263,236.11878259067765
-121.74493562,38.54021947,163.41175348800647,236.21708155051022
-121.74496365,38.54022019,163.0838150136662,236.23954988428758
-121.74499322,38.54021622,162.73785922750275,236.11566198873948
-121.74502501,38.5402084,162.36593043322443,235.87163092001342
-121.74505848,38.5401997,161.9743463898809,235.60013855471934
-121.7450938,38.54019039,161.56111817302522,235.30961051758032
-121.74513164,38.5401806,161.11840708248866,235.0041035914042
-121.74517017,38.54016815,160.66762330020248,234.6155886546486
-121.74520621,38.54015583,160.24597140505725,234.2311305004791
-121.74524122,38.54014326,159.83637004989055,233.83887084135338
-121.7452765,38.54013089,159.423609815199,233.45285238610396
-121.74531273,38.5401187,158.99973500518973,233.07245101429888
-121.74534925,38.54010754,158.57246732457358,232.72419184207993
-121.74538445,38.54009948,158.1606430542103,232.47267132883533
-121.74541849,38.54009732,157.7623902654434,232.40526632772492
-121.74544954,38.54010087,157.39911914070296,232.51604769531014
-121.74547961,38.54010986,157.04731357782023,232.7965898062027
-121.74550749,38.54012265,156.72113003651236,233.195714789415
-121.74553214,38.54013788,156.43273605171706,233.6709824591202
-121.74555602,38.5401512,156.15335072283335,234.08664663222785
-121.74558084,38.5401619,155.86296781392355,234.42055103584167
-121.74560707,38.54017076,155.5560885351409,234.69703636436986
-121.74563511,38.54017932,155.22803306534271,234.96415988708353
-121.7456662,38.54018684,154.86429395827187,235.1988291499951
-121.74569346,38.5401939,154.5453641398432,235.41914364430156
-121.74572212,38.54020054,154.21005494699958,235.62635161064514
-121.74575399,38.54020518,153.83719018855922,235.77114753889066
-121.745788,38.54020752,153.4392883863323,235.8441696234454
-121.7458215,38.54020609,153.04735335628257,235.79954501610663
-121.74585519,38.54020197,152.65319541120252,235.67097621776216
-121.74588764,38.54019455,152.27354491188086,235.43942755678876
-121.74592102,38.54018729,151.88301382832356,235.21287185860598
-121.74595387,38.54018009,151.49868350785925,234.98818852171914
-121.745991,38.54017296,151.0642790998218,234.76568960612246
-121.74602786,38.5401644,150.63303357130917,234.4985660834088
-121.74606159,38.54015447,150.23840764406498,234.18869031443054
-121.74609278,38.54014592,149.87349858175003,233.92187885193286
-121.74612018,38.54013807,149.55293082574687,233.67691160255882
-121.74614736,38.54012901,149.23493697164648,233.39418507037607
-121.74617316,38.54011965,148.93308850071273,233.1020967323788
-121.74619832,38.54011032,148.63872774374022,232.81094457480782
-121.74622618,38.54010154,148.31277819351445,232.53695572800757
-121.74625416,38.54009137,147.98542469662996,232.21959051451077
-121.74628249,38.54007976,147.65397635639115,231.85728863368095
-121.74631107,38.54006876,147.31960312770954,231.51402242447435
-121.74634204,38.54005843,146.95726796713114,231.19166424818692
-121.74637364,38.54004731,146.58756208804937,230.8446533166102
